cd_Ugestora,dt_Ano,de_Ugestora,Eleito,Classe
201123,2009,MONTEIRO,EDNACE ALVES SILVESTRE HENRIQUE,NAO IRREGULAR
201123,2013,MONTEIRO,EDNACE ALVES SILVESTRE HENRIQUE,NAO IRREGULAR
201124,2009,MULUNGU,JOSE LEONEL DE MOURA,IRREGULAR
201124,2013,MULUNGU,JOANA DARC RODRIGUES BANDEIRA FERRAZ,IRREGULAR
201125,2009,NATUBA,JOSEVALDO ALVES DA SILVA,NAO IRREGULAR
201125,2013,NATUBA,JOSE LINS DA SILVA FILHO,NAO IRREGULAR
201126,2009,NAZAREZINHO,FRANCISCO ASSIS BRAGA JUNIOR,IRREGULAR
201126,2013,NAZAREZINHO,SALVAN MENDES PEDROZA,IRREGULAR
201127,2009,NOVA FLORESTA,JOAO  ELIAS DA SILVEIRA NETO AZEVEDO,IRREGULAR
201127,2013,NOVA FLORESTA,JOAO ELIAS DA SILVEIRA NETO AZEVEDO,NAO IRREGULAR
201128,2009,NOVA OLINDA,MARIA GALDINO IRMA,IRREGULAR
201128,2009,NOVA OLINDA,MARIA DO CARMO SILVA,IRREGULAR
201128,2013,NOVA OLINDA,MARIA DO CARMO SILVA,NAO IRREGULAR
201129,2009,NOVA PALMEIRA,JOSE PETRONILO DE ARAUJO,IRREGULAR
201129,2013,NOVA PALMEIRA,JOSE FELIX DE LIMA FILHO,NAO IRREGULAR
201130,2009,OLHO D'AGUA,FRANCISCO DE ASSIS CARVALHO,NAO IRREGULAR
201130,2013,OLHO D'AGUA,FRANCISCO DE ASSIS CARVALHO,NAO IRREGULAR
201131,2009,OLIVEDOS,JOSIMAR GONCALVES COSTA,IRREGULAR
201131,2013,OLIVEDOS,GRIGORIO DE ALMEIDA SOUTO,NAO IRREGULAR
201132,2009,OURO VELHO,INACIO AMARO DOS SANTOS FILHO,IRREGULAR
201132,2013,OURO VELHO,NATALIA CARNEIRO NUNES DE LIRA,IRREGULAR
201133,2009,PARARI,SOLANGE AIRES CALUETE GUIMARAES,NAO IRREGULAR
201133,2013,PARARI,JOSE JOSEMAR FERREIRA DE SOUZA,NAO IRREGULAR
201134,2009,PASSAGEM,AGAMENON BALDUINO DA NOBREGA,NAO IRREGULAR
201134,2013,PASSAGEM,MAGNO SILVA MARTINS,NAO IRREGULAR
201135,2009,PATOS,NABOR WANDERLEY DA NOBREGA FILHO,NAO IRREGULAR
201135,2013,PATOS,FRANCISCA GOMES ARAUJO MOTTA,NAO IRREGULAR
201136,2009,PAULISTA,SEVERINO PEREIRA DANTAS,IRREGULAR
201136,2013,PAULISTA,SEVERINO PEREIRA DANTAS,IRREGULAR
201137,2009,PEDRA BRANCA,JOSE DE ANCHIETA NOIA,NAO IRREGULAR
201137,2013,PEDRA BRANCA,JOSE DE ANCHIETA NOIA,NAO IRREGULAR
